year,team,wins
2017,Philadelphia 76ers,52
2017,Phoenix Suns,21
2017,Portland Trail Blazers,49
2017,Sacramento Kings,27
2017,San Antonio Spurs,47
2017,Toronto Raptors,59
2017,Utah Jazz,48
2017,Washington Wizards,43
2016,Atlanta Hawks,43
2016,Boston Celtics,53
2016,Brooklyn Nets,20
2016,Chicago Bulls,41
2016,Charlotte Hornets,36
2016,Cleveland Cavaliers,51
2016,Dallas Mavericks,33
2016,Denver Nuggets,40
2016,Detroit Pistons,37
2016,Golden State Warriors,67
2016,Houston Rockets,55
2016,Indiana Pacers,42
2016,Los Angeles Clippers,51
2016,Los Angeles Lakers,26
2016,Memphis Grizzlies,43
2016,Miami Heat,41
2016,Milwaukee Bucks,42
2016,Minnesota Timberwolves,31
2016,New Orleans Pelicans,34
2016,New York Knicks,31
2016,Oklahoma City Thunder,47
2016,Orlando Magic,29
2016,Philadelphia 76ers,28
2016,Phoenix Suns,24
2016,Portland Trail Blazers,41
2016,Sacramento Kings,32
2016,San Antonio Spurs,61
2016,Toronto Raptors,51
2016,Utah Jazz,51
2016,Washington Wizards,49
2015,Atlanta Hawks,48
2015,Boston Celtics,48
2015,Brooklyn Nets,21
2015,Chicago Bulls,42
2015,Charlotte Hornets,48
2015,Cleveland Cavaliers,57
2015,Dallas Mavericks,42
2015,Denver Nuggets,33
2015,Detroit Pistons,44
2015,Golden State Warriors,73
2015,Houston Rockets,41
2015,Indiana Pacers,45
2015,Los Angeles Clippers,53
2015,Los Angeles Lakers,17
2015,Memphis Grizzlies,42
2015,Miami Heat,48
2015,Milwaukee Bucks,33
2015,Minnesota Timberwolves,29
2015,New Orleans Pelicans,30
2015,New York Knicks,32
2015,Oklahoma City Thunder,55
2015,Orlando Magic,35
2015,Philadelphia 76ers,10
2015,Phoenix Suns,23
2015,Portland Trail Blazers,44
2015,Sacramento Kings,33
2015,San Antonio Spurs,67
2015,Toronto Raptors,56
2015,Utah Jazz,40
2015,Washington Wizards,41
2014,Atlanta Hawks,60
2014,Boston Celtics,40
2014,Brooklyn Nets,38
2014,Chicago Bulls,50
2014,Charlotte Hornets,33
2014,Cleveland Cavaliers,53
2014,Dallas Mavericks,50
2014,Denver Nuggets,30
2014,Detroit Pistons,32
2014,Golden State Warriors,67
2014,Houston Rockets,56
2014,Indiana Pacers,38
2014,Los Angeles Clippers,56
2014,Los Angeles Lakers,21
2014,Memphis Grizzlies,55
2014,Miami Heat,37
2014,Milwaukee Bucks,41
2014,Minnesota Timberwolves,16
2014,New Orleans Pelicans,45
2014,New York Knicks,17
2014,Oklahoma City Thunder,45
2014,Orlando Magic,25
2014,Philadelphia 76ers,18
2014,Phoenix Suns,39
2014,Portland Trail Blazers,51
2014,Sacramento Kings,29
2014,San Antonio Spurs,55
2014,Toronto Raptors,49
2014,Utah Jazz,38
2014,Washington Wizards,46
2013,Atlanta Hawks,38
2013,Boston Celtics,25
2013,Brooklyn Nets,44
2013,Chicago Bulls,48
2013,Charlotte Hornets,43
2013,Cleveland Cavaliers,33
2013,Dallas Mavericks,49
2013,Denver Nuggets,36
2013,Detroit Pistons,29
2013,Golden State Warriors,51
2013,Houston Rockets,54
2013,Indiana Pacers,56
2013,Los Angeles Clippers,57
2013,Los Angeles Lakers,27
2013,Memphis Grizzlies,50
2013,Miami Heat,54
2013,Milwaukee Bucks,15
2013,Minnesota Timberwolves,40
2013,New Orleans Pelicans,34
2013,New York Knicks,37
2013,Oklahoma City Thunder,59
2013,Orlando Magic,23
2013,Philadelphia 76ers,19
2013,Phoenix Suns,48
2013,Portland Trail Blazers,54
2013,Sacramento Kings,28
2013,San Antonio Spurs,62
2013,Toronto Raptors,48
2013,Utah Jazz,25
2013,Washington Wizards,44
2012,Atlanta Hawks,44
2012,Boston Celtics,41
2012,Brooklyn Nets,49
2012,Chicago Bulls,45
2012,Charlotte Hornets,21
2012,Cleveland Cavaliers,24
2012,Dallas Mavericks,41
2012,Denver Nuggets,57
2012,Detroit Pistons,29
2012,Golden State Warriors,47
2012,Houston Rockets,45
2012,Indiana Pacers,49
2012,Los Angeles Clippers,56
2012,Los Angeles Lakers,45
2012,Memphis Grizzlies,56
2012,Miami Heat,66
2012,Milwaukee Bucks,38
2012,Minnesota Timberwolves,31
2012,New Orleans Pelicans,27
2012,New York Knicks,54
2012,Oklahoma City Thunder,60
2012,Orlando Magic,20
2012,Philadelphia 76ers,34
2012,Phoenix Suns,25
2012,Portland Trail Blazers,33
2012,Sacramento Kings,28
2012,San Antonio Spurs,58
2012,Toronto Raptors,34
2012,Utah Jazz,43
2012,Washington Wizards,29
2011,Atlanta Hawks,40
2011,Boston Celtics,39
2011,Brooklyn Nets,22
2011,Chicago Bulls,50
2011,Charlotte Hornets,7
2011,Cleveland Cavaliers,21
2011,Dallas Mavericks,36
2011,Denver Nuggets,38
2011,Detroit Pistons,25
2011,Golden State Warriors,23
2011,Houston Rockets,34
2011,Indiana Pacers,42
2011,Los Angeles Clippers,40
2011,Los Angeles Lakers,41
2011,Memphis Grizzlies,41
2011,Miami Heat,46
2011,Milwaukee Bucks,31
2011,Minnesota Timberwolves,26
2011,New Orleans Pelicans,21
2011,New York Knicks,36
2011,Oklahoma City Thunder,47
2011,Orlando Magic,37
2011,Philadelphia 76ers,35
2011,Phoenix Suns,33
2011,Portland Trail Blazers,28
2011,Sacramento Kings,22
2011,San Antonio Spurs,50
2011,Toronto Raptors,23
2011,Utah Jazz,36
2011,Washington Wizards,20
2010,Atlanta Hawks,44
2010,Boston Celtics,56
2010,Brooklyn Nets,24
2010,Chicago Bulls,62
2010,Charlotte Hornets,34
2010,Cleveland Cavaliers,19
2010,Dallas Mavericks,57
2010,Denver Nuggets,50
2010,Detroit Pistons,30
2010,Golden State Warriors,36
2010,Houston Rockets,43
2010,Indiana Pacers,37
2010,Los Angeles Clippers,32
2010,Los Angeles Lakers,57
2010,Memphis Grizzlies,46
2010,Miami Heat,58
2010,Milwaukee Bucks,35
2010,Minnesota Timberwolves,17
2010,New Orleans Pelicans,46
2010,New York Knicks,42
2010,Oklahoma City Thunder,55
2010,Orlando Magic,52
2010,Philadelphia 76ers,41
2010,Phoenix Suns,40
2010,Portland Trail Blazers,48
2010,Sacramento Kings,24
2010,San Antonio Spurs,61
2010,Toronto Raptors,22
2010,Utah Jazz,39
2010,Washington Wizards,23
2009,Atlanta Hawks,53
2009,Boston Celtics,50
2009,Brooklyn Nets,12
2009,Chicago Bulls,41
2009,Charlotte Hornets,44
2009,Cleveland Cavaliers,61
2009,Dallas Mavericks,55
2009,Denver Nuggets,53
2009,Detroit Pistons,27
2009,Golden State Warriors,26
2009,Houston Rockets,42
2009,Indiana Pacers,32
2009,Los Angeles Clippers,29
2009,Los Angeles Lakers,57
2009,Memphis Grizzlies,40
2009,Miami Heat,47
2009,Milwaukee Bucks,46
2009,Minnesota Timberwolves,15
2009,New Orleans Pelicans,37
2009,New York Knicks,29
2009,Oklahoma City Thunder,50
2009,Orlando Magic,59
2009,Philadelphia 76ers,27
2009,Phoenix Suns,54
2009,Portland Trail Blazers,50
2009,Sacramento Kings,25
2009,San Antonio Spurs,50
2009,Toronto Raptors,40
2009,Utah Jazz,53
2009,Washington Wizards,26
2008,Atlanta Hawks,47
2008,Boston Celtics,62
2008,Brooklyn Nets,34
2008,Chicago Bulls,41
2008,Charlotte Hornets,35
2008,Cleveland Cavaliers,66
2008,Dallas Mavericks,50
2008,Denver Nuggets,54
2008,Detroit Pistons,39
2008,Golden State Warriors,29
2008,Houston Rockets,53
2008,Indiana Pacers,36
2008,Los Angeles Clippers,19
2008,Los Angeles Lakers,65
2008,Memphis Grizzlies,24
2008,Miami Heat,43
2008,Milwaukee Bucks,34
2008,Minnesota Timberwolves,24
2008,New Orleans Pelicans,49
2008,New York Knicks,32
2008,Oklahoma City Thunder,23
2008,Orlando Magic,59
2008,Philadelphia 76ers,41
2008,Phoenix Suns,46
2008,Portland Trail Blazers,54
2008,Sacramento Kings,17
2008,San Antonio Spurs,54
2008,Toronto Raptors,33
2008,Utah Jazz,48
2008,Washington Wizards,19
2007,Atlanta Hawks,37
2007,Boston Celtics,66
2007,Brooklyn Nets,34
2007,Chicago Bulls,33
2007,Charlotte Hornets,32
2007,Cleveland Cavaliers,45
2007,Dallas Mavericks,51
2007,Denver Nuggets,50
2007,Detroit Pistons,59
2007,Golden State Warriors,48
2007,Houston Rockets,55
2007,Indiana Pacers,36
2007,Los Angeles Clippers,23
2007,Los Angeles Lakers,57
2007,Memphis Grizzlies,22
2007,Miami Heat,15
2007,Milwaukee Bucks,26
2007,Minnesota Timberwolves,22
2007,New Orleans Pelicans,56
2007,New York Knicks,23
2007,Oklahoma City Thunder,20
2007,Orlando Magic,52
2007,Philadelphia 76ers,40
2007,Phoenix Suns,55
2007,Portland Trail Blazers,41
2007,Sacramento Kings,38
2007,San Antonio Spurs,56
2007,Toronto Raptors,41
2007,Utah Jazz,54
2007,Washington Wizards,43
2006,Atlanta Hawks,30
2006,Boston Celtics,24
2006,Brooklyn Nets,41
2006,Chicago Bulls,49
2006,Charlotte Hornets,33
2006,Cleveland Cavaliers,50
2006,Dallas Mavericks,67
2006,Denver Nuggets,45
2006,Detroit Pistons,53
2006,Golden State Warriors,42
2006,Houston Rockets,52
2006,Indiana Pacers,35
2006,Los Angeles Clippers,40
2006,Los Angeles Lakers,42
2006,Memphis Grizzlies,22
2006,Miami Heat,44
2006,Milwaukee Bucks,28
2006,Minnesota Timberwolves,32
2006,New Orleans Pelicans,39
2006,New York Knicks,33
2006,Oklahoma City Thunder,31
2006,Orlando Magic,40
2006,Philadelphia 76ers,35
2006,Phoenix Suns,61
2006,Portland Trail Blazers,32
2006,Sacramento Kings,33
2006,San Antonio Spurs,58
2006,Toronto Raptors,47
2006,Utah Jazz,51
2006,Washington Wizards,41
2005,Atlanta Hawks,26
2005,Boston Celtics,33
2005,Brooklyn Nets,49
2005,Chicago Bulls,41
2005,Charlotte Hornets,26
2005,Cleveland Cavaliers,50
2005,Dallas Mavericks,60
2005,Denver Nuggets,44
2005,Detroit Pistons,64
2005,Golden State Warriors,34
2005,Houston Rockets,34
2005,Indiana Pacers,41
2005,Los Angeles Clippers,47
2005,Los Angeles Lakers,45
2005,Memphis Grizzlies,49
2005,Miami Heat,52
2005,Milwaukee Bucks,40
2005,Minnesota Timberwolves,33
2005,New Orleans Pelicans,38
2005,New York Knicks,23
2005,Oklahoma City Thunder,35
2005,Orlando Magic,36
2005,Philadelphia 76ers,38
2005,Phoenix Suns,54
2005,Portland Trail Blazers,21
2005,Sacramento Kings,44
2005,San Antonio Spurs,63
2005,Toronto Raptors,27
2005,Utah Jazz,41
2005,Washington Wizards,42
2004,Atlanta Hawks,13
2004,Boston Celtics,45
2004,Brooklyn Nets,42
2004,Chicago Bulls,47
2004,Charlotte Hornets,18
2004,Cleveland Cavaliers,42
2004,Dallas Mavericks,58
2004,Denver Nuggets,49
2004,Detroit Pistons,54
2004,Golden State Warriors,34
2004,Houston Rockets,51
2004,Indiana Pacers,44
2004,Los Angeles Clippers,37
2004,Los Angeles Lakers,34
2004,Memphis Grizzlies,45
2004,Miami Heat,59
2004,Milwaukee Bucks,30
2004,Minnesota Timberwolves,44
2004,New Orleans Pelicans,18
2004,New York Knicks,33
2004,Oklahoma City Thunder,52
2004,Orlando Magic,36
2004,Philadelphia 76ers,43
2004,Phoenix Suns,62
2004,Portland Trail Blazers,27
2004,Sacramento Kings,50
2004,San Antonio Spurs,59
2004,Toronto Raptors,33
2004,Utah Jazz,26
2004,Washington Wizards,45
2003,Atlanta Hawks,28
2003,Boston Celtics,36
2003,Brooklyn Nets,47
2003,Chicago Bulls,23
2003,Charlotte Hornets,NA
2003,Cleveland Cavaliers,35
2003,Dallas Mavericks,52
2003,Denver Nuggets,43
2003,Detroit Pistons,54
2003,Golden State Warriors,37
2003,Houston Rockets,45
2003,Indiana Pacers,61
2003,Los Angeles Clippers,28
2003,Los Angeles Lakers,56
2003,Memphis Grizzlies,50
2003,Miami Heat,42
2003,Milwaukee Bucks,41
2003,Minnesota Timberwolves,58
2003,New Orleans Pelicans,41
2003,New York Knicks,39
2003,Oklahoma City Thunder,37
2003,Orlando Magic,21
2003,Philadelphia 76ers,33
2003,Phoenix Suns,29
2003,Portland Trail Blazers,41
2003,Sacramento Kings,55
2003,San Antonio Spurs,57
2003,Toronto Raptors,33
2003,Utah Jazz,42
2003,Washington Wizards,25
2002,Atlanta Hawks,35
2002,Boston Celtics,44
2002,Brooklyn Nets,49
2002,Chicago Bulls,30
2002,Charlotte Hornets,NA
2002,Cleveland Cavaliers,17
2002,Dallas Mavericks,60
2002,Denver Nuggets,17
2002,Detroit Pistons,50
2002,Golden State Warriors,38
2002,Houston Rockets,43
2002,Indiana Pacers,48
2002,Los Angeles Clippers,27
2002,Los Angeles Lakers,50
2002,Memphis Grizzlies,28
2002,Miami Heat,25
2002,Milwaukee Bucks,42
2002,Minnesota Timberwolves,51
2002,New Orleans Pelicans,47
2002,New York Knicks,37
2002,Oklahoma City Thunder,40
2002,Orlando Magic,42
2002,Philadelphia 76ers,48
2002,Phoenix Suns,44
2002,Portland Trail Blazers,50
2002,Sacramento Kings,59
2002,San Antonio Spurs,60
2002,Toronto Raptors,24
2002,Utah Jazz,47
2002,Washington Wizards,37
2001,Atlanta Hawks,33
2001,Boston Celtics,49
2001,Brooklyn Nets,52
2001,Chicago Bulls,21
2001,Charlotte Hornets,44
2001,Cleveland Cavaliers,29
2001,Dallas Mavericks,57
2001,Denver Nuggets,27
2001,Detroit Pistons,50
2001,Golden State Warriors,21
2001,Houston Rockets,28
2001,Indiana Pacers,42
2001,Los Angeles Clippers,39
2001,Los Angeles Lakers,58
2001,Memphis Grizzlies,23
2001,Miami Heat,36
2001,Milwaukee Bucks,41
2001,Minnesota Timberwolves,50
2001,New Orleans Pelicans,NA
2001,New York Knicks,30
2001,Oklahoma City Thunder,45
2001,Orlando Magic,44
2001,Philadelphia 76ers,43
2001,Phoenix Suns,36
2001,Portland Trail Blazers,49
2001,Sacramento Kings,61
2001,San Antonio Spurs,58
2001,Toronto Raptors,42
2001,Utah Jazz,44
2001,Washington Wizards,37
2000,Atlanta Hawks,25
2000,Boston Celtics,36
2000,Brooklyn Nets,26
2000,Chicago Bulls,15
2000,Charlotte Hornets,46
2000,Cleveland Cavaliers,30
2000,Dallas Mavericks,53
2000,Denver Nuggets,40
2000,Detroit Pistons,32
2000,Golden State Warriors,17
2000,Houston Rockets,45
2000,Indiana Pacers,41
2000,Los Angeles Clippers,31
2000,Los Angeles Lakers,56
2000,Memphis Grizzlies,23
2000,Miami Heat,50
2000,Milwaukee Bucks,52
2000,Minnesota Timberwolves,47
2000,New Orleans Pelicans,NA
2000,New York Knicks,48
2000,Oklahoma City Thunder,44
2000,Orlando Magic,43
2000,Philadelphia 76ers,56
2000,Phoenix Suns,51
2000,Portland Trail Blazers,50
2000,Sacramento Kings,55
2000,San Antonio Spurs,58
2000,Toronto Raptors,47
2000,Utah Jazz,53
2000,Washington Wizards,19
